TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice
543,Burn,43,1,1,Coverdale/Lord/Paice,453955,14775708,0.99
544,Stormbringer,43,1,1,Coverdale,277133,9050022,0.99
545,Gypsy,43,1,1,Coverdale/Hughes/Lord/Paice,339173,11046952,0.99
546,"Lady Double Dealer",43,1,1,Coverdale,233586,7608759,0.99
547,Mistreated,43,1,1,Coverdale,758648,24596235,0.99
548,"Smoke On The Water",43,1,1,Gillan/Glover/Lord/Paice,618031,20103125,0.99
549,"You Fool No One",43,1,1,Coverdale/Lord/Paice,804101,26369966,0.99
620,"Space Truckin'",50,1,1,Blackmore/Gillan/Glover/Lord/Paice,1196094,39267613,0.99
621,"Going Down / Highway Star",50,1,1,"Gillan/Glover/Lord/Nix - Blackmore/Paice",913658,29846063,0.99
622,"Mistreated (Alternate Version)",50,1,1,Blackmore/Coverdale,854700,27775442,0.99
623,"You Fool No One (Alternate Version)",50,1,1,Blackmore/Coverdale/Lord/Paice,763924,24887209,0.99
745,"Comin' Home",58,1,1,Bolin/Coverdale/Paice,235781,7644604,0.99
746,"Lady Luck",58,1,1,Cook/Coverdale,168202,5501379,0.99
747,"Gettin' Tighter",58,1,1,Bolin/Hughes,218044,7176909,0.99
748,Dealer,58,1,1,Bolin/Coverdale,230922,7591066,0.99
749,"I Need Love",58,1,1,Bolin/Coverdale,263836,8701064,0.99
750,Drifter,58,1,1,Bolin/Coverdale,242834,8001505,0.99
751,"Love Child",58,1,1,Bolin/Coverdale,188160,6173806,0.99
752,"This Time Around / Owed to 'G' [Instrumental]",58,1,1,Bolin/Hughes/Lord,370102,11995679,0.99
753,"You Keep On Moving",58,1,1,Coverdale/Hughes,319111,10447868,0.99
754,"Speed King",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",264385,8587578,0.99
755,Bloodsucker,59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",256261,8344405,0.99
756,"Child In Time",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",620460,20230089,0.99
757,"Flight Of The Rat",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",478302,15563967,0.99
758,"Into The Fire",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",210259,6849310,0.99
759,"Living Wreck",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",274886,8993056,0.99
760,"Hard Lovin' Man",59,1,1,"Blackmore, Gillan, Glover, Lord, Paice",431203,13931179,0.99
761,Fireball,60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",204721,6714807,0.99
762,"No No No",60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",414902,13646606,0.99
763,"Strange Kind Of Woman",60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",247092,8072036,0.99
764,"Anyone's Daughter",60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",284682,9354480,0.99
765,"The Mule",60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",322063,10638390,0.99
766,Fools,60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",500427,16279366,0.99
767,"No One Came",60,1,1,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",385880,12643813,0.99
768,"Knocking At Your Back Door",61,1,1,"Richie Blackmore, Ian Gillian, Roger Glover",424829,13779332,0.99
769,"Bad Attitude",61,1,1,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord",307905,10035180,0.99
